Episode;Episode title;KAY;Description
1077;The Black Organization's Scheme (Hunt);MAIN PLOT;"""The Black Organization's Scheme"""
1078;The Black Organization's Scheme (Landing);MAIN PLOT;"""The Black Organization's Scheme"""
1079;The Black Organization's Scheme (Identity);MAIN PLOT;"""The Black Organization's Scheme"""
1080;The Cameras Targeting Haibara;FILLER;FILLER
1081;My Beloved Dog Pan-kun Is a Good Boy;FILLER;FILLER
1082;The Alley of Sad Betrayal;FILLER;FILLER
1083;Behind the Scenes of the J League Finals;FILLER;FILLER
1084;The Freezing Cold Men;FILLER;FILLER
1085;The Inauspicious Matchmaking (Part 1);MANGA CANON;Heiji case.
1086;The Inauspicious Matchmaking (Part 2);MANGA CANON;Heiji case.
1087;The Case of Ayumi's Illustrated Diary 3;FILLER;FILLER
1088;The Unfortunate and Suspicious Victim‎‎;FILLER;FILLER
1089;The Genius Restaurant;FILLER;FILLER
1090;The Culprit Who Disappeared Into the Sleeping Town;FILLER;FILLER
1091;Girls Day Mystery;FILLER;FILLER
1092;Stakeout 2;FILLER;FILLER
1093;Akemi Miyano's Time Capsule (Part 1);MAIN PLOT;Haibara and Rumi development.
1094;Akemi Miyano's Time Capsule (Part 2);MAIN PLOT;Haibara and Rumi development.
1095;The Missing Man's Dream;FILLER;FILLER
1096;Mitsuhiko Tsuburaya's Detective Notes 2;FILLER;FILLER
1097;Did I Do It?;FILLER;FILLER
1098;Chihaya Hagiwara, Goddess of the Wind (Part 1);MANGA CANON;Introduces Hagiwara Chihaya.
1099;Chihaya Hagiwara, Goddess of the Wind (Part 2);MANGA CANON;Introduces Hagiwara Chihaya.
1100;The Troublesome 20 Million Yen;FILLER;FILLER
1101;Pride of the Immortal Man;FILLER;FILLER
1102;The Akabeko and the Three Lucky Men;FILLER;FILLER
1103;The Teen Novel That Smells Like Guilt;FILLER;FILLER
1104;The True Culprit is On the Run;FILLER;FILLER
1105;Kid vs. Amuro: Queen's Bang (Part 1);MANGA CANON;Kaitō Kid.
1106;Kid vs. Amuro: Queen's Bang (Part 2);MANGA CANON;Kaitō Kid.
1107;I Was Set Up;FILLER;FILLER
1108;The Secret Hidden By the Cards;FILLER;FILLER
1109;Takagi and Date and the Notebook Promise (Part 1);MANGA CANON;Takagi development.
1110;Takagi and Date and the Notebook Promise (Part 2);MANGA CANON;Takagi development.
1111;Rube Goldberg Machine (Part 1);FILLER;FILLER
1112;Rube Goldberg Machine (Part 2);FILLER;FILLER
1113;Last Dinner For You;FILLER;FILLER
1114;The Holed-Up Sensation;FILLER;FILLER
1115;Chihaya and Jugo's Matchmaking Party (Part 1);MANGA CANON;Hagiwara Chihaya development.
1116;Chihaya and Jugo's Matchmaking Party (Part 2);MANGA CANON;Hagiwara Chihaya development.
1117;Karate Teacher Ran Mouri;FILLER;FILLER
1118;Girls Day Mystery 2;FILLER;FILLER
1119;The Four-Person Class Reunion;FILLER;FILLER
1120;Mystery of the Lost Treasure;FILLER;FILLER
1121;The Dangerous Melon Field;FILLER;FILLER
1122;Stakeout 3;FILLER;FILLER
1123;The Body on the Gunma-Nagano Border (Part 1);FILLER;FILLER
1124;The Body on the Gunma-Nagano Border (Part 2);FILLER;FILLER
1125;The Case of Ayumi's Illustrated Diary 4;FILLER;FILLER
1126;The Detective Who Lost His Mind;FILLER;FILLER
1127;The Interrogation Room 2;FILLER;FILLER
1128;Conan and Megure's Two Hostages (Part 1);FILLER;FILLER
1129;Conan and Megure's Two Hostages (Part 2);FILLER;FILLER
;;;
;;;
;;;
;;;
;;;
;;;
Episode;Episode title;KAY;Description
;;;
